Задолженность,"Просрочка, дни",Первоначльный лимит,BIRTHDATE,SEX,EDU,INCOME,TERM,Рейтинг кредитной истории,LV_AREA,LV_SETTLEMENTNAME,INDUSTRYNAME,PDN,CLIENTID,SCORINGMARK,UNDERAGECHILDRENCOUNT,VELCOMSCORING,FAMILYSTATUS
3567.05,0,5000.0,1989-03-01,Мужской,Высшее,2985.85,36,C2,г. Минск,МИНСК,Спорт и туризм,0.19,918579,110.0,1,,1
2250.02,3,3900.0,1973-03-14,Мужской,Среднее специальное,1615.45,24,,Минская область,БОРИСОВ,Производство,0.13,914247,172.0,0,,2
839.91,0,1000.0,1974-05-27,Мужской,Среднее,1465.33,60,C2,г. Минск,МИНСК,Производство,0.16,553981,76.0,1,,2
1732.39,0,2000.0,1965-02-23,Женский,Среднее специальное,1093.05,60,B3,г. Минск,МИНСК,Производство,0.4,925801,224.0,0,,1
1732.39,0,2000.0,1990-07-23,Мужской,Среднее специальное,1928.56,60,B2,Гомельская область,ПРОСКУРНИ,Торговля,0.08,592876,235.0,0,,2
1043.36,0,3000.0,1977-11-11,Мужской,Среднее,587.71,36,C1,МИНСКАЯ,ЛЕСНОЙ,Строительство,0.28,566990,146.0,2,,1
866.2,3,1000.0,1987-01-13,Женский,Среднее специальное,1386.1,60,C2,ВИТЕБСКАЯ ОБЛАСТЬ,ВЕРХНЕДВИНСК,Торговля,0.24,778802,124.0,3,,2
2750.44,0,4000.0,1974-02-12,Женский,Среднее специальное,2316.19,36,C2,Минская область,СОСНОВАЯ,АПК,0.15,910793,193.0,0,,2
3036.59,0,4000.0,1977-02-21,Мужской,Среднее специальное,1500.0,60,C2,ВИТЕБСКАЯ,БЛИЗНИЦА,МВД/МЧС/МО,0.24,822725,,1,,1
3121.66,0,4000.0,1999-05-02,Женский,Высшее,896.39,60,,,МИНСК,Наука и образование,0.14,823295,,0,,2
7140.85,0,9150.0,1999-09-13,Мужской,Высшее,1900.0,60,C1,,Минск,Иное,0.4,805376,41.0,0,,2
7919.5,0,10000.0,1991-04-24,Мужской,Высшее,781.74,60,,,Минск,Строительство,0.38,480015,101.0,1,,1
2853.64,0,4000.0,1993-05-14,Мужской,Высшее,1938.87,36,B1,Могилевская,Трилесино,Информационные технологии,0.19,349252,306.0,0,,2
7362.85,0,8500.0,1980-03-04,Женский,Высшее,1437.75,60,A3,г. Минск,МИНСК,Торговля,0.4,926702,305.0,1,,1
2165.55,0,2500.0,1969-06-28,Женский,Среднее специальное,1287.13,60,C1,Минская область,МОЛОДЕЧНО,Строительство,0.4,925973,227.0,0,,1
2597.72,0,3000.0,1987-10-22,Мужской,Высшее,2581.28,60,D2,Брестская область,МАГДАЛИН,АПК,0.21,927731,128.0,3,,1
830.13,0,1000.0,2002-05-24,Мужской,Среднее специальное,893.48,60,D3,Минская область,МОЛОДЕЧНО,Медицина и здравоохранение,0.31,905717,120.0,0,,2
3902.18,0,5000.0,1979-11-17,Мужской,Среднее специальное,2414.47,60,C1,МОГИЛЕВСКАЯ,КОМИНТЕРН,Производство,0.33,824104,,0,,1
791.91,0,1000.0,1979-11-17,Мужской,Среднее специальное,2259.4,60,C2,МОГИЛЕВСКАЯ,КОМИНТЕРН,Иное,0.35,824104,,1,,1
702.3,0,900.0,2000-03-04,Женский,Высшее,1622.56,60,C2,БРЕСТСКАЯ,ДРОГИЧИН,Иное,0.4,462797,,0,,2
780.52,0,1000.0,1980-04-01,Мужской,Среднее,1801.32,60,B1,,МОГИЛЕВ,Производство,0.22,822821,,2,,1
7250.0,0,8500.0,1976-04-25,Женский,Среднее специальное,1389.66,60,B3,Витебская область,ПОЛОЦК,Медицина и здравоохранение,0.4,917591,156.0,0,,1
1472.55,0,1700.0,1987-10-01,Женский,Среднее специальное,1514.51,60,A3,БРЕСТСКАЯ,ОЗЯТЫ,АПК,0.38,913959,244.0,1,,2
866.2,3,1000.0,1987-01-13,Женский,Среднее специальное,1386.1,60,C1,ВИТЕБСКАЯ ОБЛАСТЬ,ВЕРХНЕДВИНСК,Торговля,0.21,778802,150.0,3,,2
4331.1,0,5000.0,1986-10-21,Женский,Высшее,3027.95,60,B1,г. Минск,МИНСК,Транспорт/перевозки,0.17,338401,344.0,1,,1
2965.14,0,6000.0,1990-09-12,Мужской,Высшее,1886.4,24,B1,Минская область,МАРЬИНА ГОРКА,МВД/МЧС/МО,0.26,582384,310.0,0,,2
1992.24,0,2300.0,1982-02-07,Женский,Высшее,1804.89,60,B3,Витебская область,ПОСТАВЫ,Наука и образование,0.22,927740,257.0,1,,1
5981.73,0,8600.0,1992-10-17,Мужской,Среднее специальное,1400.0,60,C1,Брестская область,ДАРЕВО-ЧИЖ,МВД/МЧС/МО,0.4,825605,267.0,3,,1
3121.66,0,4000.0,1984-08-14,Женский,Среднее специальное,900.0,60,B3,МИНСКАЯ ОБЛАСТЬ,СОЛИГОРСК,Торговля,0.7,756736,,0,,2
4724.28,33,5850.0,1968-10-18,Мужской,Среднее специальное,1063.8,60,C3,,ВИТЕБСК,Иное,0.4,822558,160.0,0,,1
7919.5,0,10000.0,1975-12-03,Женский,Высшее,832.49,60,A1,БРЕСТСКАЯ,РП. РЕЧИЦА,Медицина и здравоохранение,0.36,830869,,0,,1
8531.59,0,10000.0,1990-10-20,Мужской,Среднее,2322.46,60,B2,,Брест,Производство,0.38,799918,220.0,1,,1
3121.66,0,4000.0,1969-09-15,Женский,Среднее специальное,1299.9,60,B3,,МИНСК,Иное,0.4,820180,,0,,1
16989.5,0,20000.0,1990-03-11,Женский,Высшее,1924.75,60,B2,г. Минск,МИНСК,Финансы и страхование,0.54,607964,327.0,0,,1
5231.35,0,6050.0,1994-01-25,Женский,Среднее,1808.01,60,D2,,МОГИЛЕВ,Государственное управление,0.4,726982,120.0,0,,2
6103.77,0,7100.0,1994-03-31,Мужской,Среднее специальное,2103.87,60,B2,Брестская область,СМОЛЯНЫ,АПК,0.1,926809,193.0,2,,1
1259.94,0,1500.0,1966-05-29,Женский,Среднее специальное,965.74,60,D1,г. Минск,МИНСК,Услуги населению,0.29,905335,107.0,0,,2
853.13,0,1000.0,1999-06-14,Женский,Среднее,647.41,60,B2,г. Минск,МИНСК,Торговля,0.79,873040,212.0,1,,2
1318.71,3,1500.0,1992-11-23,Мужской,Среднее,1741.84,60,B3,Брестская область,ДОМАЧЕВО,АПК,0.37,908208,203.0,0,,2
3359.79,0,4000.0,1982-08-11,Женский,Высшее,1025.32,60,B3,г. Минск,Минск,Культура и искусство,0.21,392978,260.0,1,,2
1706.27,0,2000.0,1979-02-16,Женский,Высшее,1082.75,60,D1,Могилевская область,БОБРУЙСК,Наука и образование,0.39,763227,158.0,2,,1
1203.42,0,2000.0,1988-09-20,Женский,Высшее,1069.66,60,B1,,МИНСК,Информационные технологии,0.06,761746,303.0,3,,1
1583.82,0,2000.0,1975-05-25,Мужской,Высшее,4005.5,60,B3,МИНСКАЯ,МИНСК,Финансы и страхование,0.26,605208,,2,,1
2261.19,62,2500.0,1990-10-02,Мужской,Среднее специальное,1630.4,60,B3,Брестская область,ВЕРХОВИЧИ,АПК,0.36,907938,145.0,0,,2
1170.57,0,1500.0,1965-04-06,Мужской,Среднее специальное,706.42,60,C2,МОГИЛЕВСКАЯ,КРАСНЫЙ ВОСХОД,АПК,0.4,824571,,0,,1
850.4,0,1000.0,1986-01-02,Мужской,Среднее специальное,835.15,60,B3,ГОМЕЛЬСКАЯ ОБЛАСТЬ,ЖЛОБИН,Услуги населению,0.03,914700,199.0,0,,1
7796.01,0,9000.0,1993-02-23,Мужской,Среднее,2178.5,60,B3,Брестская область,ОБЕРОВЩИНА,Транспорт/перевозки,0.15,870615,156.0,0,,2
1560.83,0,2000.0,1996-06-01,Женский,Неоконченное высшее,570.57,60,B1,,МИНСК,Услуги населению,0.11,658723,,0,,2
4199.7,0,5000.0,1970-07-06,Женский,Среднее специальное,1341.46,60,C1,Минская область,Вилейка,Услуги населению,0.4,455172,201.0,0,,2
11693.95,0,13500.0,1983-07-28,Мужской,Среднее специальное,1800.09,60,B2,г. Минск,МИНСК,Медицина и здравоохранение,0.4,797519,253.0,1,,1
8531.59,0,10000.0,1974-11-13,Женский,Среднее,654.37,60,A2,,ВИТЕБСК,Наука и образование,0.44,918215,255.0,0,,1
475.39,0,1000.0,1990-04-15,Женский,Высшее,1316.52,24,B1,Могилевская область,БЫХОВ,Государственное управление,0.06,610326,296.0,0,,2
390.26,0,500.0,1990-06-27,Мужской,Среднее специальное,755.05,60,B3,МОГИЛЁВСКАЯ,МОГИЛЕВ,Транспорт/перевозки,0.14,797475,,2,,1
4751.66,0,6000.0,1988-01-31,Мужской,Неоконченное высшее,920.52,60,B2,,Минск,Медицина и здравоохранение,0.3,84997,220.0,0,,2
738.9,0,1000.0,1999-01-30,Женский,Высшее,1407.09,36,B3,г. Минск,МИНСК,Финансы и страхование,0.27,499830,258.0,0,,2
17063.05,0,20000.0,1969-10-05,Женский,Среднее специальное,1132.73,60,B1,БРЕСТСКАЯ,РЕВЯТИЧИ,Производство,0.96,915725,260.0,1,,1
1732.39,0,2000.0,1980-07-25,Женский,Высшее,2127.89,60,A2,г. Минск,МИНСК,Производство,0.4,885688,294.0,1,,1
1560.83,0,2000.0,1969-06-30,Мужской,Высшее,1335.58,60,B2,БРЕСТСКАЯ,БАРАНОВИЧИ,Услуги населению,1.0,824954,,2,,1
7796.01,3,9000.0,2004-01-29,Мужской,Среднее специальное,651.36,60,,г. Минск,МИНСК,Производство,0.4,924418,155.0,0,,2
713.22,0,1000.0,1992-03-25,Женский,Среднее специальное,931.21,36,,г. Минск,МИНСК,Торговля,0.04,505805,166.0,2,,1
4658.57,0,6000.0,1990-06-17,Женский,Высшее,1355.61,60,C1,,Минск,Финансы и страхование,0.25,539223,,2,,1
4199.7,0,5000.0,1984-06-30,Женский,Высшее,4030.5,60,D3,БРЕСТСКАЯ,БРЕСТ,Медицина и здравоохранение,0.22,905331,180.0,2,,1
3378.25,0,3900.0,1987-04-02,Женский,Среднее специальное,792.18,60,C2,Брестская область,ОГДЕМЕР,Производство,0.14,840098,165.0,0,,1
535.96,0,1000.0,2004-05-07,Мужской,Среднее специальное,1147.71,24,C1,г. Минск,МИНСК,Производство,0.29,686026,175.0,0,,2
853.13,0,1000.0,1984-09-19,Женский,Среднее,678.42,60,B3,МИНСКАЯ ОБЛАСТЬ,СОЛИГОРСК,Производство,0.06,918332,196.0,0,,1
4721.49,0,6050.0,1982-09-30,Мужской,Среднее специальное,849.75,60,B1,ГРОДНЕНСКАЯ,ГРОДНО,Культура и искусство,1.0,743823,,1,,2
4751.66,0,6000.0,1988-12-07,Мужской,Неоконченное высшее,1870.0,60,B2,,МИНСК,Иное,0.11,832045,171.0,1,,2
495.3,0,1000.0,1976-05-31,Мужской,Высшее,1338.42,24,A2,г. Минск,МИНСК,Наука и образование,0.11,506851,295.0,1,,1
6335.67,0,8000.0,1980-06-16,Мужской,Среднее специальное,1107.39,60,B1,МИНСКАЯ,Руденск,Производство,0.4,420507,,1,,1
0.0,0,1500.0,1970-08-06,Мужской,Среднее специальное,1605.46,60,B3,,Брест,Строительство,0.7,415013,183.0,0,,1
7350.4,0,10000.0,1989-03-06,Мужской,Высшее,2934.54,36,A2,г. Минск,Минск,Транспорт/перевозки,0.16,926775,262.0,3,,1
4682.49,0,6000.0,1984-08-14,Женский,Среднее специальное,900.0,60,B2,МИНСКАЯ ОБЛАСТЬ,СОЛИГОРСК,Торговля,0.6,756736,,0,,2
853.13,0,1000.0,1976-07-23,Мужской,Среднее специальное,1592.38,60,C3,г. Минск,МИНСК,Торговля,0.38,882222,137.0,0,,2
1039.51,0,1200.0,2000-12-28,Мужской,Среднее специальное,1665.32,60,C2,Гродненская область,ЛИДА,Производство,0.4,915284,142.0,0,,2
4125.52,0,6000.0,1991-05-17,Женский,Высшее,1878.73,36,B2,г. Минск,МИНСК,Производство,0.23,905360,256.0,0,,2
2637.42,3,3000.0,1990-04-03,Мужской,Среднее специальное,728.21,60,B1,Гродненская область,РОССЬ,Производство,0.4,899969,116.0,1,,2
13018.99,0,15500.0,1994-10-23,Мужской,Высшее,4500.93,60,C3,г. Минск,МИНСК,Информационные технологии,0.32,630401,234.0,1,,1
10152.51,0,11900.0,1994-06-13,Мужской,Высшее,985.74,60,A3,Гомельская область,ГОМЕЛЬ,Торговля,0.47,918206,273.0,2,,1
779.35,0,1000.0,1991-12-31,Женский,Среднее специальное,1002.4,60,C1,ВИТЕБСКАЯ,ПОЛОЦК,Торговля,0.09,773500,186.0,0,,2
1560.83,0,2000.0,2000-04-02,Мужской,Среднее специальное,1087.07,60,,МИНСКАЯ,ВИЛЕЙКА,Производство,0.06,823834,,0,,2
951.67,215,1000.0,1962-06-15,Мужской,Среднее,730.71,60,B3,Гродненская область,СЛОНИМ,Наука и образование,0.52,821024,165.0,0,,2
6968.94,3,8000.0,1971-09-22,Женский,Среднее специальное,629.33,60,B1,Брестская область,РЕЧИЦА,Производство,0.37,926893,284.0,0,,1
791.91,0,1000.0,1970-08-24,Женский,Среднее специальное,2064.05,60,B2,,МИНСК,Иное,0.48,822489,,0,,2
3779.0,0,4500.0,1967-09-10,Женский,Среднее,1082.9,60,C2,Минская область,СОЛИГОРСК,Производство,0.32,905382,138.0,0,,1
577.24,0,1000.0,1995-05-14,Мужской,Среднее,1737.33,24,B2,Минская область,СТОЛБЦЫ,Производство,0.1,843393,187.0,1,,2
738.9,3,1000.0,1990-01-28,Женский,Высшее,845.26,36,C2,Могилевская область,КРИЧЕВ,Строительство,0.38,888735,152.0,1,,2
1430.09,185,1500.0,1991-07-13,Мужской,Среднее специальное,1128.96,60,C3,ВИТЕБСКАЯ,БИГОСОВО,Производство,0.24,907144,162.0,1,,1
535.96,0,1000.0,1995-06-04,Мужской,Среднее специальное,1133.74,24,C1,,БРЕСТ,Производство,0.34,918395,71.0,0,,2
12993.3,0,15000.0,1991-08-11,Мужской,Высшее,2949.83,60,B3,г. Минск,Минск,Строительство,0.21,873861,209.0,1,,1
2216.7,3,3000.0,1980-09-05,Мужской,Среднее специальное,2654.25,36,C2,Минская область,Борисов,Производство,0.32,918377,95.0,1,,1
1426.82,0,2000.0,1988-06-19,Мужской,Среднее специальное,1275.15,36,C2,МИНСКАЯ,СВИСЛОЧЬ,Производство,0.38,914735,108.0,1,,1
4703.62,0,5600.0,1977-04-15,Женский,Среднее специальное,902.43,60,B2,,БРЕСТ,Производство,0.86,783069,233.0,0,,1
6335.67,0,8000.0,1972-05-13,Женский,Среднее специальное,1198.31,60,B2,ВИТЕБСКАЯ,ШАЙТЕРОВО,АПК,0.62,825095,137.0,0,,1
5317.89,0,10000.0,1972-04-14,Мужской,Высшее,7054.29,60,B3,МИНСКАЯ ОБЛАСТЬ,МЕДУХОВО,Строительство,0.04,818740,,0,,1
853.13,0,1000.0,1983-04-26,Мужской,Неоконченное высшее,1186.43,60,D1,ВИТЕБСКАЯ ОБЛАСТЬ,ЗАМОСТОЧЬЕ,Строительство,0.39,760415,106.0,1,,1
772.11,0,1000.0,1985-10-06,Мужской,Высшее,1419.4,60,B2,ВИТЕБСКАЯ,ЛЕПЕЛЬ,МВД/МЧС/МО,0.43,789425,,1,,1
952.85,0,1100.0,1984-08-28,Мужской,Среднее специальное,1700.0,60,C2,Брестская область,БАРАНОВИЧИ,МВД/МЧС/МО,0.33,894893,207.0,0,,1
1071.93,0,2000.0,1985-03-11,Мужской,Среднее специальное,1410.56,24,A3,Минская область,ЗАРЕЧЬЕ,АПК,0.17,918408,254.0,0,,2
580.0,0,4000.0,1986-10-16,Женский,Высшее,1763.23,60,A1,,МИНСК,Медицина и здравоохранение,0.07,411506,,1,,2
3071.38,0,3600.0,1964-01-04,Мужской,Среднее специальное,2220.9,60,C3,Витебская область,ДУБРОВНО,Транспорт/перевозки,0.4,914387,153.0,0,,1
3266.3,0,5000.0,1989-01-06,Женский,Высшее,942.66,60,A2,Гомельская область,ДОБРУШ,Производство,0.23,820188,263.0,1,,2
7919.5,0,10000.0,1986-01-21,Женский,Среднее специальное,1042.91,60,A2,ВИТЕБСКАЯ,ВИТЕБСК,Производство,0.44,825146,,0,,1
4199.7,0,5000.0,1994-07-11,Мужской,Среднее специальное,1606.22,60,D1,ГОМЕЛЬСКАЯ,ПОГОНЦЫ,Производство,0.28,806194,147.0,1,,1
5930.0,277,6000.0,1992-11-15,Мужской,Высшее,996.96,60,B3,Гродненская область,ЛОЗОВКА,АПК,0.4,921058,181.0,1,,2
800.0,0,1000.0,2004-07-02,Мужской,Среднее специальное,1403.17,60,D2,Могилевская область,БЫХОВ,АПК,0.14,807693,101.0,0,,2
1706.27,0,2000.0,1995-03-23,Женский,Высшее,1500.0,60,D1,МИНСКАЯ,ДВОРИЩЕ,МВД/МЧС/МО,0.31,728754,176.0,3,,1
5118.93,0,6000.0,1985-09-17,Мужской,Высшее,1210.57,60,B2,г. Минск,Минск,Услуги населению,0.4,359508,237.0,0,,1
3318.86,62,4000.0,1992-05-15,Мужской,Среднее специальное,1311.4,60,C1,ВИТЕБСКАЯ,СЕННО,Строительство,0.22,692807,220.0,1,,1
3800.0,0,10000.0,1987-05-20,Мужской,Высшее,842.7,60,B3,,МИНСК,Иное,0.36,820085,,2,,1
2132.9,0,2500.0,1990-03-14,Мужской,Среднее специальное,2631.88,60,C1,ВИТЕБСКАЯ,НЕМОЙТА,Производство,0.32,563661,203.0,0,,2
866.2,0,1000.0,1969-03-03,Мужской,Среднее специальное,1212.1,60,C1,ВИТЕБСКАЯ,ЗУБРЕВИЧИ,Услуги населению,0.09,927697,186.0,0,,1
672.52,0,1000.0,2001-02-18,Мужской,Среднее специальное,738.55,36,C3,МИНСКАЯ ОБЛАСТЬ,ВИЛЕЙКА,Производство,0.12,833321,144.0,0,,2
408.31,0,1350.0,1991-04-19,Мужской,Высшее,1427.53,24,A2,ГРОДНЕНСКАЯ,ГРОДНО,Производство,0.05,613929,271.0,1,,1
4027.64,3,5000.0,1992-09-27,Мужской,Среднее,1177.81,60,C1,ГОМЕЛЬСКАЯ,НОВОСЁЛКИ,АПК,0.22,825287,,1,,1
1476.5,0,2000.0,1979-01-23,Женский,Высшее,858.84,36,C1,ГОМЕЛЬСКАЯ,ГОМЕЛЬ,Наука и образование,0.09,926988,237.0,0,,1
3249.51,0,3900.0,1978-08-28,Мужской,Среднее специальное,777.6,60,B1,Витебская область,ВЫСОЧАНЫ,Производство,0.35,910862,162.0,0,,2
8872.87,0,10400.0,1983-09-27,Мужской,Среднее специальное,1023.59,60,D2,Минская область,ГОРА,Производство,0.4,910696,75.0,2,,1
3747.84,0,5000.0,1987-12-19,Женский,Высшее,1693.68,60,B2,,МИНСК,Финансы и страхование,0.25,539353,,1,,1
1528.18,3,2000.0,2003-03-14,Мужской,Неоконченное высшее,1395.26,36,D3,г. Минск,МИНСК,Торговля,0.21,650634,71.0,0,,2
1905.7,0,2200.0,2001-07-08,Мужской,Высшее,1342.86,60,D1,г. Минск,МИНСК,Финансы и страхование,0.35,927728,172.0,0,,2
1299.35,0,1500.0,2003-09-26,Мужской,Среднее специальное,877.27,60,C2,Гомельская область,РЕЧИЦА,АПК,0.29,927029,126.0,0,,2
1248.69,0,1500.0,1993-06-15,Мужской,Среднее специальное,566.7,60,B2,Минская область,КЛЕЦК,Наука и образование,0.08,905429,123.0,0,,2
3409.74,0,5000.0,1990-04-01,Женский,Среднее специальное,595.04,60,B3,,МИНСК,Производство,0.25,834338,243.0,1,,1
4737.6,0,6000.0,1981-05-27,Мужской,Высшее,4093.78,60,C1,,Минск,Финансы и страхование,0.21,27557,306.0,2,,1
687.61,0,1000.0,1993-03-13,Женский,Высшее,1594.51,36,B3,г. Минск,МИНСК,Финансы и страхование,0.07,579155,192.0,0,,2
1115.17,0,3500.0,1979-09-24,Женский,Высшее,2944.98,24,B3,БРЕСТСКАЯ,БРЕСТ,Услуги населению,0.1,699557,226.0,0,,2
6063.5,0,7000.0,2004-02-06,Мужской,Среднее специальное,629.56,60,,Витебская область,ГОРОДОК,АПК,0.32,574490,114.0,0,,2
703.89,0,1000.0,1971-08-06,Женский,Среднее специальное,662.19,60,A2,,ДУБРОВНО,Производство,0.25,747466,134.0,0,,2
7804.15,0,10000.0,1969-11-04,Женский,Высшее,1572.77,60,A1,ГРОДНЕНСКАЯ,ГРОДНО,Производство,0.19,823688,,0,,2
17063.05,3,20000.0,1982-04-12,Женский,Высшее,1831.8,60,A2,г. Минск,Минск,Производство,0.39,430255,276.0,0,,2
